"fiscal_year","agency_name","title_description","work_location_borough","pay_basis","regular_hours","regular_gross_paid","ot_hours","total_ot_paid","total_other_pay"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","720","48712.00","0","0.00","-26388.61"
"2024","NYC HOUSING AUTHORITY","MASONS HELPER","BRONX","per Day","663.5","93950.47","0","346.45","-25690.46"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","BRONX","per Day","74.53","30746.86","12","521.93","-25647.86"
"2024","NYC HOUSING AUTHORITY","SUPERVISING HOUSING GROUNDSKEEPER","MANHATTAN","per Annum","48","33440.43","-8.5","268.41","-25188.16"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","1009.40","84372.75","23","2329.04","-24418.02"
"2024","NYC HOUSING AUTHORITY","SUPERVISING HOUSING GROUNDSKEEPER","BROOKLYN","per Annum","17.22","29316.04","0","628.93","-23971.11"
"2024","NYC HOUSING AUTHORITY","SUPERVISING HOUSING GROUNDSKEEPER","BROOKLYN","per Annum","56","37728.78","0","906.10","-23258.97"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR OF HOUSING CARETAKER","BRONX","per Annum","335.6","39504.15","21.25","1739.52","-22829.11"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","1840.00","126559.86","199.75","20892.90","-22575.73"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","102.97","32666.66","0","244.81","-22050.41"
"2024","NYC HOUSING AUTHORITY","HEATING PLANT TECHNICIAN","QUEENS","per Annum","2076.57","90397.89","211","8924.19","-21885.51"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","119.72","26282.99","0","144.11","-21593.20"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","79.1","26771.65","0","48.17","-21264.24"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","81.1","25408.31","0","70.47","-21247.27"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR OF HOUSING CARETAKER","BROOKLYN","per Annum","1978.68","98107.09","340.75","17537.24","-20890.72"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","985.13","40336.47","51.75","2205.18","-20382.60"
"2024","NYC HOUSING AUTHORITY","BRICKLAYER","BROOKLYN","per Day","50.33","46600.27","0","4219.62","-19834.37"
"2024","NYC HOUSING AUTHORITY","PLASTERER","BROOKLYN","per Day","1920.00","127538.07","8","6746.26","-19502.33"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","884.57","48119.36","107.5","5008.75","-18962.08"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","38.85","20954.05","0","110.38","-18785.87"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR OF HOUSING CARETAKER","QUEENS","per Annum","806.75","44093.69","210.25","9654.45","-18106.41"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","72","19306.41","0","0.00","-18023.72"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","128.5","13700.25","-17962.28"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","463.28","32052.16","11","562.66","-17425.79"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","536.73","53203.45","33","3018.23","-16991.12"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","BROOKLYN","per Day","297.1","40467.37","19","970.14","-16452.45"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BROOKLYN","per Annum","1148.00","75642.15","0","0.00","-16422.73"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","75.43","25509.61","0","107.90","-16400.34"
"2024","NYC HOUSING AUTHORITY","PLUMBER'S HELPER","QUEENS","per Day","252.58","32399.81","7.75","1474.68","-16172.68"
"2024","NYC HOUSING AUTHORITY","SECRETARY","QUEENS","per Annum","-28.77","27102.36","0","0.00","-15913.79"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","8","20602.55","0","140.08","-15838.17"
"2024","NYC HOUSING AUTHORITY","PLUMBER","BROOKLYN","per Day","1869.50","137574.60","123.25","15149.21","-15592.38"
"2024","NYC HOUSING AUTHORITY","PLASTERER","QUEENS","per Day","1960.00","127538.07","269.5","30759.30","-15517.54"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","11.43","23897.71","0","0.00","-15063.86"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","43.43","16102.47","0","27.68","-15020.07"
"2024","NYC HOUSING AUTHORITY","PAINTER","BROOKLYN","per Day","1.75","21751.88","0","2530.45","-14279.88"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","296","28643.35","0","75.00","-14276.92"
"2024","NYC HOUSING AUTHORITY","BRICKLAYER","BRONX","per Day","1820.00","121772.72","342.25","31133.74","-14231.70"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","145.15","25294.96","0","87.69","-14195.51"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","145.15","17712.35","0","25.58","-14168.43"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","38.85","18899.79","0","73.32","-13942.77"
"2024","NYC HOUSING AUTHORITY","ASSISTANT RESIDENT BUILDING SUPT","BROOKLYN","per Annum","1914.28","101230.47","448.5","27300.46","-13465.68"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","72","18067.82","0","12.24","-13117.07"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","BRONX","per Day","2052.50","68672.48","217.75","10206.53","-13072.52"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","110.85","19147.57","0","60.72","-12890.16"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","929.6","47049.64","6.5","374.73","-12483.75"
"2024","NYC HOUSING AUTHORITY","ROOFER","QUEENS","per Day","1072.25","78737.99","299.75","24359.51","-11957.13"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR OF HOUSING CARETAKER","BROOKLYN","per Annum","2085.72","76926.75","598.75","24839.07","-11733.09"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","141566.80","167","18529.26","-11396.15"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","MANHATTAN","per Day","2080.00","65043.20","24","1139.04","-11329.97"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","70.85","25401.31","0","100.30","-10989.87"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","-3.43","22669.76","0","344.62","-10735.83"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","22.85","17473.94","0","25.74","-10731.99"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","22.47","16513.36","0","11.84","-10679.48"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","-31.18","29558.92","0","183.27","-10583.51"
"2024","NYC HOUSING AUTHORITY","ASSISTANT RESIDENT BUILDING SUPT","BROOKLYN","per Annum","83.25","25370.37","19.75","2636.21","-10321.10"
"2024","NYC HOUSING AUTHORITY","SECRETARY","MANHATTAN","per Annum","60","15349.68","0","0.00","-10250.90"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","2066.28","64535.18","169.75","6606.63","-10022.38"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","75.43","14628.30","19","1156.25","-10021.42"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","QUEENS","per Day","2120.68","79645.30","92.75","4297.06","-9710.54"
"2024","NYC HOUSING AUTHORITY","ASSISTANT RESIDENT BUILDING SUPT","BROOKLYN","per Annum","2076.57","76480.25","285.5","13929.27","-9552.56"
"2024","NYC HOUSING AUTHORITY","CARETAKER","RICHMOND","per Annum","93","11492.28","0","-2216.39","-8800.12"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","1597.72","53141.42","128","5004.68","-8713.45"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","MANHATTAN","per Day","2080.00","65043.20","539.5","24800.74","-8668.72"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BROOKLYN","per Annum","1360.00","49038.71","0","0.00","-8557.67"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","QUEENS","per Day","55.72","27733.46","0","0.00","-8409.85"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2016.00","74295.83","389.25","23388.65","-8254.89"
"2024","NYC HOUSING AUTHORITY","PAINTER","BROOKLYN","per Day","637.75","48694.18","270.75","23755.09","-8213.35"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","MANHATTAN","per Day","0","12462.50","0","0.00","-8065.70"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR OF HOUSING STOCK WORKERS","MANHATTAN","per Annum","1821.00","78306.57","0","0.00","-7901.15"
"2024","NYC HOUSING AUTHORITY","PAINTER","BRONX","per Day","784","59778.40","224.5","18926.92","-7893.03"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2027.88","126262.28","370.5","38330.27","-7412.01"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","1592.35","41246.38","198.75","5490.31","-7366.67"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","951.83","39721.96","8","582.75","-7300.60"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","217","13507.22","0","417.31","-7102.26"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","MANHATTAN","per Annum","1820.00","71603.78","0","0.00","-7036.51"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","526.32","25124.82","30","1582.31","-6828.41"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BROOKLYN","per Annum","969.25","68422.34","0","0.00","-6699.60"
"2024","NYC HOUSING AUTHORITY","ADMINISTRATIVE ACCOUNTANT","MANHATTAN","per Annum","1820.00","118374.39","0","0.00","-6614.81"
"2024","NYC HOUSING AUTHORITY","HOUSING EXTERMINATOR","QUEENS","per Annum","1352.00","54754.28","3","129.10","-6593.53"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","943.6","24039.13","56.5","2055.40","-6528.22"
"2024","NYC HOUSING AUTHORITY","PLASTERER","MANHATTAN","per Day","510.75","38669.25","4.5","3128.91","-6382.93"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","RICHMOND","per Day","2080.00","65043.20","73.5","3365.28","-6358.76"
"2024","NYC HOUSING AUTHORITY","CLERICAL ASSOCIATE","BROOKLYN","per Annum","278.25","37984.60","0","0.00","-6235.95"
"2024","NYC HOUSING AUTHORITY","PAINTER","QUEENS","per Day","1220.00","70518.13","207.5","16153.68","-6214.60"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","BRONX","per Day","1566.25","62815.15","95","4853.51","-5942.43"
"2024","NYC HOUSING AUTHORITY","HEATING PLANT TECHNICIAN","QUEENS","per Annum","915.43","36294.26","326.75","10171.78","-5920.75"
"2024","NYC HOUSING AUTHORITY","SUPERVISING HOUSING GROUNDSKEEPER","QUEENS","per Annum","1354.28","44448.70","87.25","3443.50","-5854.82"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","651.5","68531.74","-5743.49"
"2024","NYC HOUSING AUTHORITY","RESIDENT BUILDING SUPERINTENDENT","BROOKLYN","per Annum","1923.85","100574.53","167.75","10729.95","-5742.71"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","1374.85","38118.40","270.5","10626.47","-5518.38"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","49.15","17203.14","0","63.20","-5486.82"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","0","23947.62","0","216.19","-5440.98"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","QUEENS","per Day","1296.50","48104.21","52","2430.57","-5420.74"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","161.5","5929.47","0","610.38","-5411.62"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR OF HOUSING CARETAKER","BROOKLYN","per Annum","1902.85","73955.00","183.25","10693.53","-5375.77"
"2024","NYC HOUSING AUTHORITY","ASSISTANT RESIDENT BUILDING SUPT","QUEENS","per Annum","1610.00","60253.52","366.75","17280.20","-5347.45"
"2024","NYC HOUSING AUTHORITY","CARPENTER","BROOKLYN","per Day","42.5","12289.71","8","4268.38","-5318.32"
"2024","NYC HOUSING AUTHORITY","PLASTERER","QUEENS","per Day","2080.00","127538.07","465.25","54488.99","-5006.42"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","1424.00","33472.57","179.5","7221.92","-4372.09"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","BROOKLYN","per Day","1920.00","65043.20","32","1495.68","-4335.35"
"2024","NYC HOUSING AUTHORITY","PLUMBER","QUEENS","per Day","1820.00","112221.41","290.75","36338.37","-4333.60"
"2024","NYC HOUSING AUTHORITY","COMMUNITY SERVICE AIDE","QUEENS","Prorated Annual","56","8030.73","0","0.00","-4242.41"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","1022.78","36035.70","109.5","4888.87","-4193.23"
"2024","NYC HOUSING AUTHORITY","MASONS HELPER","BROOKLYN","per Day","1799.75","106470.57","424.75","26327.78","-4187.87"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","1338.90","37168.39","277.25","10849.77","-4105.47"
"2024","NYC HOUSING AUTHORITY","HEATING PLANT TECHNICIAN","QUEENS","per Annum","1376.55","28566.49","55","1881.19","-4099.47"
"2024","NYC HOUSING AUTHORITY","PLASTERER","MANHATTAN","per Day","1237.50","71015.86","41.5","3968.04","-3957.14"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR OF HOUSING CARETAKER","BROOKLYN","per Annum","2085.72","83352.71","474.75","26277.89","-3791.34"
"2024","NYC HOUSING AUTHORITY","TELECOMMUNICATIONS ASSOCIATE","QUEENS","per Annum","-140","-1902.16","0","0.00","-3731.49"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","1889.15","53032.37","159","6170.94","-3449.99"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","1915.42","41888.95","254.25","7962.37","-3417.42"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","0","5763.94","0","477.16","-3397.69"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","0","3679.41","0","0.00","-3338.40"
"2024","NYC HOUSING AUTHORITY","CARETAKER","RICHMOND","per Annum","-40","3690.23","0","118.48","-3272.25"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","1924.57","54846.03","132.75","5106.06","-3233.37"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","28.75","3109.33","0","239.34","-3154.75"
"2024","NYC HOUSING AUTHORITY","PAINTER","QUEENS","per Day","0","10921.10","0","1161.95","-3121.87"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","1114.50","31777.67","107.5","3902.59","-3080.32"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","176","5208.47","28.5","1782.40","-2986.71"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","90338.40","141.5","9324.00","-2866.29"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","BROOKLYN","per Day","330","15267.78","0","0.00","-2775.29"
"2024","NYC HOUSING AUTHORITY","ASSOCIATE HOUSING DEVELOPMENT SPECIALIST","MANHATTAN","per Annum","0","4363.11","0","0.00","-2689.95"
"2024","NYC HOUSING AUTHORITY","PLUMBER","MANHATTAN","per Day","1540.00","112293.23","112.25","13994.75","-2659.21"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","0","0.00","-2609.33"
"2024","NYC HOUSING AUTHORITY","RESIDENT BUILDING SUPERINTENDENT","QUEENS","per Annum","20","5649.28","0","1633.68","-2387.32"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","2103.57","59653.25","343.25","13845.83","-2382.14"
"2024","NYC HOUSING AUTHORITY","EMERGENCY SERVICE AIDE","MANHATTAN","per Annum","36","6475.31","0","75.14","-2256.18"
"2024","NYC HOUSING AUTHORITY","ADMINISTRATIVE SUPERVISOR OF BUILDING MAINTENANCE","MANHATTAN","per Annum","1820.00","129415.17","0","-4958.15","-2216.34"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","0","2113.71","0","69.00","-2162.65"
"2024","NYC HOUSING AUTHORITY","ARCHITECT","QUEENS","per Annum","0","2633.67","0","11.52","-2114.55"
"2024","NYC HOUSING AUTHORITY","PLASTERER","BROOKLYN","per Day","1196.75","97107.86","35","3942.08","-2029.76"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","QUEENS","per Day","1569.70","57628.28","86","4019.68","-1965.59"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","2009.15","61734.67","903","37189.49","-1961.88"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","1688.83","37175.92","121","5651.01","-1931.70"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","RICHMOND","per Day","2080.00","65043.20","396.75","18364.94","-1787.99"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BROOKLYN","per Annum","770","21957.86","0","2.18","-1686.80"
"2024","NYC HOUSING AUTHORITY","RESIDENT BUILDING SUPERINTENDENT","BROOKLYN","per Annum","1004.48","64041.16","38","4131.25","-1668.87"
"2024","NYC HOUSING AUTHORITY","PAINTER","MANHATTAN","per Day","1049.25","61356.91","86.75","7724.50","-1639.63"
"2024","NYC HOUSING AUTHORITY","CITY SEASONAL AIDE","QUEENS","per Annum","0","2013.77","0","0.00","-1592.82"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","147.85","5655.22","0","87.38","-1572.42"
"2024","NYC HOUSING AUTHORITY","CITY SEASONAL AIDE","QUEENS","per Annum","0","1600.69","0","0.00","-1557.80"
"2024","NYC HOUSING AUTHORITY","CITY SEASONAL AIDE","QUEENS","per Annum","-5.5","3364.54","0","0.00","-1546.41"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","2043.25","51475.19","173","6416.96","-1494.73"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BRONX","per Annum","0","1801.93","0","48.64","-1486.01"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","1604.15","48003.55","148.5","5878.48","-1478.69"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","-7.75","1562.86","0","1.77","-1455.89"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","0","1418.95","0","35.63","-1442.59"
"2024","NYC HOUSING AUTHORITY","CARETAKER","RICHMOND","per Annum","0","1281.18","0","414.76","-1341.33"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","0","2002.19","0","7.47","-1331.20"
"2024","NYC HOUSING AUTHORITY","HEATING PLANT TECHNICIAN","QUEENS","per Annum","91.25","23715.53","0","206.98","-1221.54"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","2105.50","54680.34","355.25","14318.16","-1213.53"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","0","1472.45","0","57.59","-1207.43"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","0","2002.70","0","133.91","-1198.42"
"2024","NYC HOUSING AUTHORITY","CONSTRUCTION PROJECT MANAGER","QUEENS","per Annum","0","2367.49","0","0.00","-1189.13"
"2024","NYC HOUSING AUTHORITY","COMPUTER SPECIALIST","MANHATTAN","per Annum","0","1391.21","0","1.33","-1176.17"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","176","754.19","21.25","1480.80","-1175.41"
"2024","NYC HOUSING AUTHORITY","CLERICAL ASSOCIATE","BRONX","per Annum","0","1436.98","0","35.20","-1168.53"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","113.37","5417.43","15","1345.26","-1167.59"
"2024","NYC HOUSING AUTHORITY","CITY SEASONAL AIDE","MANHATTAN","per Annum","0","1684.18","0","0.00","-1152.31"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","0","1263.46","0","336.41","-1132.58"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","0","1169.99","0","182.33","-1129.29"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","0","1145.91","0","12.31","-1071.26"
"2024","NYC HOUSING AUTHORITY","AGENCY ATTORNEY","MANHATTAN","per Annum","0","1869.40","0","0.00","-1064.30"
"2024","NYC HOUSING AUTHORITY","ADMINISTRATIVE CITY PLANNER","MANHATTAN","per Annum","1820.00","144076.63","0","0.00","-1053.72"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","2080.00","52292.47","226","8966.95","-1033.74"
"2024","NYC HOUSING AUTHORITY","SECRETARY","MANHATTAN","per Annum","0","1579.08","0","0.00","-1025.35"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","1493.00","47701.55","0","103.09","-948.14"
"2024","NYC HOUSING AUTHORITY","SECRETARY","BRONX","per Annum","0","2023.75","0","53.05","-943.07"
"2024","NYC HOUSING AUTHORITY","ROOFER","BRONX","per Day","1820.00","105523.25","818","64988.97","-933.97"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR II SOCIAL WORK","MANHATTAN","per Annum","0","4706.74","0","0.00","-907.61"
"2024","NYC HOUSING AUTHORITY","COMMUNITY SERVICE AIDE","QUEENS","per Annum","0","965.97","0","0.00","-904.65"
"2024","NYC HOUSING AUTHORITY","STAFF ANALYST","MANHATTAN","per Annum","0","4236.87","0","0.00","-891.11"
"2024","NYC HOUSING AUTHORITY","SECRETARY","QUEENS","per Annum","1484.37","50285.39","0","0.00","-884.57"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","0","752.72","0","151.74","-884.10"
"2024","NYC HOUSING AUTHORITY","PLASTERER","QUEENS","per Day","879.25","62301.40","59","8293.93","-881.96"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","768","14208.87","80","3514.75","-876.01"
